hr,cnt,cluster
0,16,1
1,40,1
2,32,1
3,13,1
4,1,1
5,1,1
6,2,1
7,3,1
8,8,1
9,14,1
10,36,4
11,56,4
12,84,4
13,94,4
14,106,4
15,110,4
16,93,2
17,67,2
18,35,2
19,37,2
20,36,2
21,34,2
22,28,2
23,39,2
0,17,1
1,17,1
2,9,1
3,6,1
4,3,1
6,2,1
7,1,1
8,8,1
9,20,1
10,53,4
11,70,4
12,93,4
13,75,4
14,59,4
15,74,4
16,76,2
17,65,2
18,53,2
19,30,2
20,22,2
21,31,2
22,9,2
23,8,2
0,5,1
1,2,1
4,1,1
5,3,1
6,30,1
7,64,1
8,154,4
9,88,4
10,44,4
11,51,4
12,61,4
13,61,4
14,77,4
15,72,4
16,76,2
17,157,2
18,157,2
19,110,2
20,52,2
21,52,2
22,20,2
23,12,2
0,5,1
1,2,1
2,1,1
4,2,1
5,4,1
6,36,1
7,94,1
8,179,4
9,100,4
10,42,4
11,57,4
12,78,4
13,97,4
14,63,4
15,65,4
16,83,2
17,212,2
18,182,2
19,112,2
20,54,2
21,48,2
22,35,2
23,11,2
0,6,1
1,6,1
2,2,1
4,2,1
5,3,1
6,33,1
7,88,1
8,195,4
9,115,4
10,57,4
11,46,4
12,79,4
13,71,4
14,62,4
15,62,4
16,89,2
17,190,2
18,169,2
19,132,2
20,89,2
21,43,2
22,42,2
23,19,2
0,11,1
1,4,1
2,2,1
4,1,1
5,4,1
6,36,1
7,95,1
8,219,4
9,122,4
10,45,4
11,59,4
12,84,4
13,67,4
14,70,4
15,62,4
16,86,2
17,172,2
18,163,2
19,112,2
20,69,2
21,48,2
22,52,2
23,23,2
0,17,1
1,7,1
2,1,1
4,1,1
5,5,1
6,34,1
7,84,1
8,210,4
9,134,4
10,63,4
11,67,4
12,59,4
13,73,4
14,50,4
15,72,4
16,87,2
17,187,2
18,123,2
19,95,2
20,51,2
21,39,2
22,36,2
23,15,2
0,25,1
1,16,1
2,16,1
3,7,1
4,1,1
5,5,1
6,2,1
7,9,1
8,15,1
9,20,1
10,61,4
11,62,4
12,98,4
13,102,4
14,95,4
15,74,4
16,76,2
17,69,2
18,55,2
19,30,2
20,28,2
21,37,2
22,34,2
23,22,2
0,25,1
1,12,1
2,11,1
3,4,1
4,1,1
5,1,1
6,1,1
7,6,1
8,10,1
9,19,1
10,49,4
11,49,4
12,83,4
13,75,4
14,72,4
15,82,4
16,92,2
17,62,2
18,48,2
19,41,2
20,38,2
21,20,2
22,15,2
23,6,2
0,5,1
1,1,1
2,3,1
3,1,1
4,3,1
5,3,1
6,31,1
7,77,1
8,188,4
9,94,4
10,31,4
11,30,4
12,52,4
