hr,cnt,cluster
0,16,1
1,40,1
2,32,1
3,13,1
4,1,1
5,1,1
6,2,1
7,3,1
8,8,1
9,14,1
10,36,1
11,56,1
12,84,1
13,94,1
14,106,1
15,110,1
16,93,1
17,67,1
18,35,1
19,37,1
20,36,1
21,34,1
22,28,1
23,39,1
0,17,1
1,17,1
2,9,1
3,6,1
4,3,1
6,2,1
7,1,1
8,8,1
9,20,1
10,53,1
11,70,1
12,93,1
13,75,1
14,59,1
15,74,1
16,76,1
17,65,1
18,53,0
19,30,0
20,22,0
21,31,0
22,9,0
23,8,1
0,5,0
1,2,0
4,1,0
5,3,0
6,30,0
7,64,0
8,154,0
9,88,0
10,44,0
11,51,0
12,61,0
13,61,0
14,77,0
15,72,0
16,76,0
17,157,0
18,157,0
19,110,0
20,52,0
21,52,0
22,20,0
23,12,0
0,5,2
1,2,2
2,1,2
4,2,2
5,4,2
6,36,2
7,94,2
8,179,2
9,100,0
10,42,0
11,57,0
12,78,0
13,97,0
14,63,0
15,65,0
16,83,0
17,212,0
18,182,0
19,112,0
20,54,0
21,48,2
22,35,0
23,11,0
0,6,2
1,6,2
2,2,2
4,2,0
5,3,2
6,33,0
7,88,0
8,195,0
9,115,0
10,57,0
11,46,0
12,79,0
13,71,0
14,62,0
15,62,0
16,89,0
17,190,0
18,169,0
19,132,0
20,89,0
21,43,0
22,42,0
23,19,0
0,11,2
1,4,2
2,2,2
4,1,2
5,4,2
6,36,2
7,95,2
8,219,2
9,122,2
10,45,2
11,59,0
12,84,0
13,67,0
14,70,0
15,62,0
16,86,0
17,172,0
18,163,0
19,112,0
20,69,0
21,48,0
22,52,0
23,23,0
0,17,2
1,7,2
2,1,2
4,1,2
5,5,2
6,34,2
7,84,2
8,210,0
9,134,0
10,63,0
11,67,0
12,59,0
13,73,0
14,50,0
15,72,0
16,87,0
17,187,0
18,123,0
19,95,0
20,51,0
21,39,0
22,36,0
23,15,0
0,25,1
1,16,1
2,16,1
3,7,1
4,1,1
5,5,1
6,2,1
7,9,1
8,15,1
9,20,1
10,61,1
11,62,1
12,98,0
13,102,0
14,95,0
15,74,0
16,76,0
17,69,0
18,55,0
19,30,0
20,28,0
21,37,0
22,34,0
23,22,0
0,25,1
1,12,0
2,11,0
3,4,1
4,1,1
5,1,1
6,1,1
7,6,1
8,10,1
9,19,0
10,49,0
11,49,0
12,83,0
13,75,0
14,72,0
15,82,0
16,92,0
17,62,0
18,48,0
19,41,0
20,38,0
21,20,0
22,15,0
23,6,1
0,5,0
1,1,0
2,3,2
3,1,0
4,3,2
5,3,0
6,31,0
7,77,0
8,188,0
9,94,0
10,31,0
11,30,0
12,52,0
